"Hurghada:",,"compound",,,,,,,,,,,,,,,
"GoogleMapsURL","Name","Phone","Rating","ReviewsCount","Website","Address","VisibleCategory","Category"
"https://www.google.com/maps/place/Florenza+Khamsin+Residential+Apartments/data=!4m7!3m6!1s0x145287c3f9952d69:0x3c23d3743d99a241!8m2!3d27.2424311!4d33.8413868!16s%2Fg%2F11hz1hmsq5!19sChIJaS2V-cOHUhQRQaKZPXTTIzw?authuser=0&hl=en&rclk=1","Florenza Khamsin Residential Apartments","01004402733","422","4.2","N/A"," 6RRR+XHC, Hurghada 1, Red Sea Governorate 1966754 ","Condominium complex","compound"
"https://www.google.com/maps/place/Tiba+Plaza+Compound/data=!4m7!3m6!1s0x14526330894ff0f9:0xa61dc9801f3fe603!8m2!3d27.295173!4d33.737495!16s%2Fg%2F11cs4hfz9p!19sChIJ-fBPiTBjUhQRA-Y_H4DJHaY?authuser=0&hl=en&rclk=1","Tiba Plaza Compound","01550228836","44","4.3","N/A"," 7PWP+3X9, Hurghada 2, Red Sea Governorate 1981440 ","Apartment complex","compound"
"https://www.google.com/maps/place/The+View+Hurghada/data=!4m10!3m9!1s0x145286fb3a86fe7d:0xb65d56b23ad32ce6!5m2!4m1!1i2!8m2!3d27.204981!4d33.8485317!16s%2Fg%2F1yfdpblyb!19sChIJff6GOvuGUhQR5izTOrJWXbY?authuser=0&hl=en&rclk=1","The View Hurghada","N/A","1","4.4","https://ekd.com.eg/"," 6R4V+6R، Old, Sheraton Rd, Hurghada 1, Red Sea Governorate 84511 ","N/A","compound"
"https://www.google.com/maps/place/Star+Compound/data=!4m7!3m6!1s0x145287c1eb4a9575:0x96220bffb24085f1!8m2!3d27.1961505!4d33.8240384!16s%2Fg%2F11ty796mgl!19sChIJdZVK68GHUhQR8YVAsv8LIpY?authuser=0&hl=en&rclk=1","Star Compound","01095601191","4","3.0","N/A"," 5RWF+8V5, Touristic Villages, Hurghada 1, Red Sea Governorate 1962737 ","Apartment complex","compound"
"https://www.google.com/maps/place/Hurghada+Heights/data=!4m7!3m6!1s0x14528793eb16087b:0xa28d2adf79f66e85!8m2!3d27.2055724!4d33.844137!16s%2Fg%2F11s7zbhwgr!19sChIJewgW65OHUhQRhW72ed8qjaI?authuser=0&hl=en&rclk=1","Hurghada Heights","01227093393","5","5.0","N/A"," 6R4V+6MC The View Compound, Sheraton Rd, Hurghada 1, Red Sea Governorate 84511 ","Housing complex","compound"
"https://www.google.com/maps/place/Elite+Compound+-+%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF+%D8%A5%D9%8A%D9%84%D9%8A%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x145287000de194cf:0xda94144026c386e2!8m2!3d27.1964036!4d33.829977!16s%2Fg%2F11lzh9nzmq!19sChIJz5ThDQCHUhQR4obDJkAUlNo?authuser=0&hl=en&rclk=1","Elite Compound - كمبوند إيليت","01283188111","2","5.0","N/A"," 5RWH+HX9, Hurghada 1, Red Sea Governorate 1963312 ","Apartment building","compound"
"https://www.google.com/maps/place/Compound+Empire+Suites/data=!4m7!3m6!1s0x14526325158f66d3:0x7a171315a257ecad!8m2!3d27.2964049!4d33.7419931!16s%2Fg%2F11c56b45zq!19sChIJ02aPFSVjUhQRrexXohUTF3o?authuser=0&hl=en&rclk=1","Compound Empire Suites","01150993084","3","4.7","N/A"," 7PWR+HQ9, Hurghada, Red Sea Governorate 1981441 ","Apartment complex","compound"
"https://www.google.com/maps/place/Legend+compound/data=!4m7!3m6!1s0x1452870072a0ab09:0x5a00263276ab5736!8m2!3d27.1945222!4d33.8317155!16s%2Fg%2F11m78q_5mr!19sChIJCaugcgCHUhQRNlerdjImAFo?authuser=0&hl=en&rclk=1","Legend compound","N/A","N/A","N/A","N/A"," 5RVJ+VGQ, Touristic Villages, Hurghada 1, Red Sea Governorate 1963109 ","Apartment complex","compound"
"https://www.google.com/maps/place/%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF+%D8%B3%D9%83%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x145287ff49519991:0xb7c49658e9152b0b!8m2!3d27.2315995!4d33.8182914!16s%2Fg%2F11q7xrzysn!19sChIJkZlRSf-HUhQRCysV6ViWxLc?authuser=0&hl=en&rclk=1","كمبوند سكاي","01125242033","14","4.4","N/A"," Hurghada 1, Red Sea Governorate 1966403 ","Apartment complex","compound"

"Hurghada:",,"resort",,,,,,,,,,,,,,,
"GoogleMapsURL","Name","Phone","Rating","ReviewsCount","Website","Address","VisibleCategory","Category"
"https://www.google.com/maps/place/Melody+Compound/data=!4m7!3m6!1s0x1452874fade218a9:0x59e67aaf448f2467!8m2!3d27.1886218!4d33.8255078!16s%2Fg%2F11l3519ppb!19sChIJqRjirU-HUhQRZySPRK965lk?authuser=0&hl=en&rclk=1","Melody Compound","N/A","2","5.0","N/A"," 5RQG+C6R, Touristic Villages, Hurghada 1, Red Sea Governorate 1962711 ","Condominium complex","resort"
